Gene stable ID,Mouse gene stable ID,Mouse gene name,Mouse homology type,"Mouse orthology confidence [0 low, 1 high]",Gene name
ENSG00000206965,ENSMUSG00000094703,Gm24486,ortholog_one2many,0,RNU6-5P
ENSG00000206965,ENSMUSG00000094013,Gm25829,ortholog_one2many,0,RNU6-5P
ENSG00000206965,ENSMUSG00000095584,Gm22628,ortholog_one2many,0,RNU6-5P
ENSG00000228253,ENSMUSG00000064356,mt-Atp8,ortholog_one2one,0,MT-ATP8
ENSG00000206772,ENSMUSG00000088615,Gm22485,ortholog_one2many,0,RNU6-44P
ENSG00000206772,ENSMUSG00000093932,Gm25525,ortholog_one2many,0,RNU6-44P
ENSG00000206772,ENSMUSG00000094275,Gm22290,ortholog_one2many,0,RNU6-44P
ENSG00000198899,ENSMUSG00000064357,mt-Atp6,ortholog_one2one,1,MT-ATP6
ENSG00000198938,ENSMUSG00000064358,mt-Co3,ortholog_one2one,1,MT-CO3
ENSG00000273544,ENSMUSG00000065709,Gm22341,ortholog_one2many,0,SNORA44
ENSG00000198840,ENSMUSG00000064360,mt-Nd3,ortholog_one2one,1,MT-ND3
ENSG00000212907,ENSMUSG00000065947,mt-Nd4l,ortholog_one2one,1,MT-ND4L
ENSG00000200336,ENSMUSG00000065387,n-R5s85,ortholog_one2many,0,RNA5SP333
ENSG00000198886,ENSMUSG00000064363,mt-Nd4,ortholog_one2one,1,MT-ND4
ENSG00000276345,ENSMUSG00000037772,Mrpl23,ortholog_one2many,1,AC004556.1
ENSG00000207475,ENSMUSG00000080370,Gm22952,ortholog_many2many,0,SNORA80E
ENSG00000207475,ENSMUSG00000084433,Gm25945,ortholog_many2many,1,SNORA80E
ENSG00000278274,ENSMUSG00000064761,Gm23514,ortholog_one2many,0,SNORA61
ENSG00000278274,ENSMUSG00000064949,Snora61,ortholog_one2many,1,SNORA61
ENSG00000278274,ENSMUSG00000084702,Gm22986,ortholog_one2many,0,SNORA61
ENSG00000278274,ENSMUSG00000064850,Gm23443,ortholog_one2many,0,SNORA61
ENSG00000198786,ENSMUSG00000064367,mt-Nd5,ortholog_one2one,1,MT-ND5
ENSG00000222990,ENSMUSG00000088409,Gm25882,ortholog_one2one,0,RNU4-22P
ENSG00000198695,ENSMUSG00000064368,mt-Nd6,ortholog_one2one,1,MT-ND6
ENSG00000275646,ENSMUSG00000098614,Gm27301,ortholog_one2one,1,RF02174
ENSG00000198727,ENSMUSG00000064370,mt-Cytb,ortholog_one2one,1,MT-CYB
ENSG00000206835,ENSMUSG00000088332,Gm22847,ortholog_one2one,0,RNU1-74P
ENSG00000200254,ENSMUSG00000065935,Gm25629,ortholog_many2many,0,RNU6-536P
ENSG00000200254,ENSMUSG00000096863,Gm22259,ortholog_many2many,0,RNU6-536P
ENSG00000200254,ENSMUSG00000065115,Gm23298,ortholog_many2many,0,RNU6-536P
ENSG00000276094,ENSMUSG00000064994,Gm22422,ortholog_one2many,0,RF00156
ENSG00000276105,ENSMUSG00000098859,Gm27389,ortholog_one2one,1,RF01947
ENSG00000201393,ENSMUSG00000064405,Gm23925,ortholog_one2many,1,RF00056
ENSG00000222952,ENSMUSG00000065005,n-R5s79,ortholog_many2many,0,RNA5SP41
ENSG00000222952,ENSMUSG00000064507,n-R5s94,ortholog_many2many,0,RNA5SP41
ENSG00000252959,ENSMUSG00000089601,Gm22094,ortholog_one2one,0,RNA5SP170
ENSG00000243544,ENSMUSG00000092875,Gm22649,ortholog_one2many,0,RN7SL172P
ENSG00000281780,ENSMUSG00000105060,Gm26457,ortholog_one2one,0,RF00134
ENSG00000274520,ENSMUSG00000098775,Gm27435,ortholog_one2one,1,RF02246
ENSG00000212550,ENSMUSG00000065389,Gm23100,ortholog_one2many,0,RNU1-78P
ENSG00000221363,ENSMUSG00000088623,Gm23031,ortholog_one2many,0,RNU6ATAC20P
ENSG00000207046,ENSMUSG00000095305,Gm23790,ortholog_one2one,0,RNU6-886P
ENSG00000252307,ENSMUSG00000098877,Gm27959,ortholog_one2many,0,RNA5SP153
ENSG00000200575,ENSMUSG00000084476,Gm25781,ortholog_one2one,0,RNU6-414P
ENSG00000252757,ENSMUSG00000089578,Gm25971,ortholog_one2one,0,RN7SKP96
ENSG00000207260,ENSMUSG00000065714,Gm25652,ortholog_one2one,0,RNU6-35P
ENSG00000200869,ENSMUSG00000089546,Gm25839,ortholog_one2many,0,RNU6-457P
ENSG00000201243,ENSMUSG00000065201,Gm24612,ortholog_one2one,0,RNU6-654P
ENSG00000252714,ENSMUSG00000075874,n-R5s1,ortholog_one2one,0,RNA5SP392
ENSG00000200163,ENSMUSG00000077681,Gm22496,ortholog_one2many,0,SNORD115-18
ENSG00000275994,ENSMUSG00000092730,Snora24,ortholog_one2one,1,SNORA24
ENSG00000206899,ENSMUSG00000065788,Gm22682,ortholog_one2many,0,RNU6-36P
ENSG00000206899,ENSMUSG00000065132,Gm24456,ortholog_one2many,0,RNU6-36P
ENSG00000206899,ENSMUSG00000064626,Gm22306,ortholog_one2many,0,RNU6-36P
ENSG00000206899,ENSMUSG00000064890,Gm22505,ortholog_one2many,0,RNU6-36P
ENSG00000275558,ENSMUSG00000065808,Gm23037,ortholog_one2many,0,RN7SKP175
ENSG00000212273,ENSMUSG00000087813,Gm22490,ortholog_one2many,0,RF00561
ENSG00000199833,ENSMUSG00000077681,Gm22496,ortholog_one2many,0,SNORD115-21
ENSG00000201654,ENSMUSG00000095023,Gm24019,ortholog_one2one,0,RNU6-7
ENSG00000278072,ENSMUSG00000098665,Gm27587,ortholog_one2one,1,RF01879
ENSG00000283575,ENSMUSG00000095857,Gm22618,ortholog_one2many,0,RF00026
ENSG00000273727,ENSMUSG00000065049,Gm24041,ortholog_one2many,0,RF00003
ENSG00000252105,ENSMUSG00000064859,Gm24524,ortholog_many2many,0,RNU1-143P
ENSG00000252105,ENSMUSG00000089396,Gm23027,ortholog_many2many,0,RNU1-143P
ENSG00000252105,ENSMUSG00000088394,Gm26312,ortholog_many2many,0,RNU1-143P
ENSG00000252105,ENSMUSG00000087949,Gm24251,ortholog_many2many,0,RNU1-143P
ENSG00000252533,ENSMUSG00000084629,Gm25112,ortholog_one2one,0,RNU6-572P
ENSG00000199506,ENSMUSG00000088312,Gm26181,ortholog_one2one,0,RNU6-247P
ENSG00000275634,ENSMUSG00000098836,Gm27572,ortholog_one2one,1,RF02160
ENSG00000278421,ENSMUSG00000098603,Gm27798,ortholog_one2one,1,RF02119
ENSG00000222361,ENSMUSG00000088405,Gm25886,ortholog_one2one,0,RNU6-1186P
ENSG00000221059,ENSMUSG00000089423,Gm26007,ortholog_one2one,0,RNU6ATAC6P
ENSG00000209482,ENSMUSG00000088219,Gm22077,ortholog_one2one,1,SNORD83A
ENSG00000199855,ENSMUSG00000064444,Gm26227,ortholog_one2one,0,RNU6-490P
ENSG00000252021,ENSMUSG00000087758,Gm23466,ortholog_one2many,0,RF00019
ENSG00000221803,ENSMUSG00000080478,Snord23,ortholog_one2one,1,SNORD23
ENSG00000274716,ENSMUSG00000084665,Gm23214,ortholog_one2one,0,RF00015
ENSG00000242818,ENSMUSG00000093191,Gm22876,ortholog_one2many,0,RN7SL846P
ENSG00000239899,ENSMUSG00000092702,Gm24514,ortholog_one2one,0,RN7SL674P
ENSG00000222874,ENSMUSG00000087909,Gm22035,ortholog_one2one,0,RN7SKP33
ENSG00000252747,ENSMUSG00000087957,Gm22560,ortholog_one2many,0,RNA5SP364
ENSG00000252747,ENSMUSG00000088182,Gm22216,ortholog_one2many,0,RNA5SP364
ENSG00000276229,ENSMUSG00000099317,Gm27610,ortholog_one2one,1,RF02248
ENSG00000200840,ENSMUSG00000087761,Gm23981,ortholog_many2many,0,RNU6-82P
ENSG00000200840,ENSMUSG00000077277,Gm22783,ortholog_many2many,0,RNU6-82P
ENSG00000241230,ENSMUSG00000093191,Gm22876,ortholog_one2many,0,RN7SL801P
ENSG00000252422,ENSMUSG00000099053,Gm27792,ortholog_one2one,0,RNA5SP476
ENSG00000241756,ENSMUSG00000092875,Gm22649,ortholog_one2many,0,RN7SL83P
ENSG00000274847,ENSMUSG00000024175,Tekt4,ortholog_one2many,0,MAFIP
ENSG00000252764,ENSMUSG00000075826,Gm23691,ortholog_one2many,0,RNU6-1092P
ENSG00000278590,ENSMUSG00000092875,Gm22649,ortholog_one2many,0,RN7SL113P
ENSG00000249020,ENSMUSG00000064938,Mir3068,ortholog_one2one,1,SNORA58
ENSG00000199327,ENSMUSG00000065159,Gm25482,ortholog_one2many,0,RNU6-230P
ENSG00000206999,ENSMUSG00000094896,Gm22287,ortholog_one2one,0,RNU6-622P
ENSG00000201752,ENSMUSG00000065242,Gm22294,ortholog_one2one,0,RNU6-119P
ENSG00000206917,ENSMUSG00000064833,Gm25926,ortholog_one2many,0,RNU1-52P
ENSG00000206917,ENSMUSG00000089185,Gm22940,ortholog_one2many,0,RNU1-52P
ENSG00000206917,ENSMUSG00000064855,Gm24526,ortholog_one2many,0,RNU1-52P
ENSG00000206917,ENSMUSG00000065745,Gm25004,ortholog_one2many,0,RNU1-52P
ENSG00000206917,ENSMUSG00000089044,Gm26170,ortholog_one2many,0,RNU1-52P
ENSG00000251773,ENSMUSG00000064904,Gm25404,ortholog_one2many,0,RNU6-1129P
ENSG00000222355,ENSMUSG00000065620,Gm24764,ortholog_one2one,0,RNU2-29P
ENSG00000212620,ENSMUSG00000065231,Gm22972,ortholog_one2one,0,RF00072
ENSG00000244710,ENSMUSG00000092875,Gm22649,ortholog_one2many,0,RN7SL47P
ENSG00000200706,ENSMUSG00000064731,Snord45b,ortholog_one2many,0,RF00279
ENSG00000220986,ENSMUSG00000080394,Gm23786,ortholog_one2many,0,SNORA50D
ENSG00000220986,ENSMUSG00000106163,Gm26047,ortholog_one2many,0,SNORA50D
ENSG00000253047,ENSMUSG00000087813,Gm22490,ortholog_one2many,0,RF00561
ENSG00000243035,ENSMUSG00000093191,Gm22876,ortholog_one2many,0,RN7SL810P
ENSG00000013503,ENSMUSG00000034453,Polr3b,ortholog_one2one,1,POLR3B
ENSG00000136044,ENSMUSG00000020263,Appl2,ortholog_one2one,1,APPL2
ENSG00000136051,ENSMUSG00000034560,Washc4,ortholog_one2one,1,WASHC4
ENSG00000160752,ENSMUSG00000059743,Fdps,ortholog_one2one,1,FDPS
ENSG00000088926,ENSMUSG00000031645,F11,ortholog_one2one,1,F11
ENSG00000111780,ENSMUSG00000029536,Gatc,ortholog_one2many,1,AL021546.1
ENSG00000111775,ENSMUSG00000041697,Cox6a1,ortholog_one2one,1,COX6A1
ENSG00000111786,ENSMUSG00000029538,Srsf9,ortholog_one2one,1,SRSF9
ENSG00000170855,ENSMUSG00000029535,Triap1,ortholog_one2one,1,TRIAP1
ENSG00000131910,ENSMUSG00000037583,Nr0b2,ortholog_one2one,1,NR0B2
ENSG00000113249,ENSMUSG00000040413,Timd2,ortholog_one2many,0,HAVCR1
ENSG00000113249,ENSMUSG00000046974,BC053393,ortholog_one2many,0,HAVCR1
ENSG00000113249,ENSMUSG00000040405,Havcr1,ortholog_one2many,0,HAVCR1
ENSG00000113249,ENSMUSG00000078924,Gm12169,ortholog_one2many,0,HAVCR1
ENSG00000067334,ENSMUSG00000039756,Dnttip2,ortholog_one2one,1,DNTTIP2
ENSG00000011007,ENSMUSG00000028668,Eloa,ortholog_one2one,1,ELOA
ENSG00000160691,ENSMUSG00000042626,Shc1,ortholog_one2one,1,SHC1
ENSG00000197217,ENSMUSG00000095463,Entpd4,ortholog_one2many,1,ENTPD4
ENSG00000197217,ENSMUSG00000022066,Entpd4b,ortholog_one2many,1,ENTPD4
ENSG00000082515,ENSMUSG00000020514,Mrpl22,ortholog_one2one,0,MRPL22
ENSG00000067369,ENSMUSG00000043909,Trp53bp1,ortholog_one2one,1,TP53BP1
ENSG00000117318,ENSMUSG00000007872,Id3,ortholog_one2one,1,ID3
ENSG00000119682,ENSMUSG00000042350,Arel1,ortholog_one2one,1,AREL1
ENSG00000143578,ENSMUSG00000027938,Creb3l4,ortholog_one2one,1,CREB3L4
ENSG00000161204,ENSMUSG00000003234,Abcf3,ortholog_one2one,1,ABCF3
ENSG00000100410,ENSMUSG00000061360,Phf5a,ortholog_one2one,1,PHF5A
ENSG00000109047,ENSMUSG00000020907,Rcvrn,ortholog_one2one,1,RCVRN
ENSG00000205758,ENSMUSG00000058240,Cryzl1,ortholog_one2one,1,CRYZL1
ENSG00000249209,ENSMUSG00000116933,Atp5o,ortholog_one2one,1,AP000311.1
ENSG00000114126,ENSMUSG00000032411,Tfdp2,ortholog_one2one,1,TFDP2
ENSG00000163218,ENSMUSG00000042250,Pglyrp4,ortholog_one2one,1,PGLYRP4
ENSG00000134193,ENSMUSG00000027876,Reg4,ortholog_one2one,1,REG4
ENSG00000184148,ENSMUSG00000045566,Sprr4,ortholog_one2one,1,SPRR4
ENSG00000203985,ENSMUSG00000070877,Ldlrad1,ortholog_one2one,1,LDLRAD1
ENSG00000197651,ENSMUSG00000047025,Ccer1,ortholog_one2one,1,CCER1
ENSG00000196260,ENSMUSG00000090509,Sfta2,ortholog_one2one,1,SFTA2
ENSG00000116731,ENSMUSG00000057637,Prdm2,ortholog_one2one,1,PRDM2
ENSG00000185477,ENSMUSG00000045441,Gprin3,ortholog_one2one,1,GPRIN3
ENSG00000253313,ENSMUSG00000028536,2610528J11Rik,ortholog_one2one,1,C1orf210
ENSG00000161011,ENSMUSG00000015837,Sqstm1,ortholog_one2one,1,SQSTM1
ENSG00000144744,ENSMUSG00000030061,Uba3,ortholog_one2one,1,UBA3
ENSG00000182533,ENSMUSG00000062694,Cav3,ortholog_one2one,1,CAV3
ENSG00000283199,ENSMUSG00000031452,1700029H14Rik,ortholog_one2one,0,C13orf46
ENSG00000187857,ENSMUSG00000044025,Olfr790,ortholog_one2one,0,OR6C75
ENSG00000205329,ENSMUSG00000049217,Olfr788,ortholog_one2one,1,OR6C3
ENSG00000084636,ENSMUSG00000040690,Col16a1,ortholog_one2one,1,COL16A1
